课程代码	课程名称	校区	学分	总学时	上课时间地点	容纳人数	任课教师	选课说明
201400150	计算机科学中的逻辑学	null	3	48	1-16周,星期五第8-10节(2区A207)	110	袁梦霆	学科通开课
201400590	高级算法设计与分析	null	3	48	1-16周,星期三第11-13节(2区A309)	90	刘娟	学科通开课
201400727	机器学习	null	3	48	1-16周,星期四第3-5节(2区A504)	70	怀念	学科通开课
201402798	智能计算	null	3	48	1-16周,星期一第11-13节(2区A306)	80	王峰	研究方向必修课
201402913	自然语言处理技术	null	3	48	1-16周,星期三第6-8节(2区A406)	80	钱铁云	研究方向必修课
201404264	视觉中的机器学习	null	3	48	1-16周,星期三第3-5节(2区A503)	80	夏桂松	研究方向必修课
202000106	听觉与声信号处理	null	3	48	1-16周,星期二第6-8节（本科生院楼七楼会议室）	50	涂卫平	研究方向必修课
202000111	机器人与应用系统	null	1	16	1-5周,星期四第11-13节(2区A417) 6-6周,星期四第11节(2区A417)	50	邹勤	选修课
null	硕士英语	null	null	null	1-16周,星期二第1-3节(2区A101)	null	null	公共必修课
null	自然辩证法概论	null	null	null	1-8周,星期五第6-7节(2区5-113)	null	null	公共必修课
null	新时代中国特色社会主义理论与实践研究	null	null	null	1-11周,星期二第11-13节(2区5-103)	null	null	公共必修课
null	学术道德与学术规范	null	null	null	慕课	null	null	选修必选课